SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
522295,CONTROL PRNT,B ,Q,232.00,234.20,225.50,230.55,230.55,229.15,16,205,47482.00,
522650,BEMCO HYDRAU,X ,Q,129.20,134.45,129.20,134.45,134.45,136.00,6,154,20102.00,
523007,ANSAL BUILD.,X ,Q,25.10,28.00,25.10,27.00,27.00,26.65,9,767,20987.00,
523011,WEIZMANN LTD,B ,Q,30.00,33.00,30.00,31.75,31.75,29.95,11,1672,52895.00,
523019,B.N.RATHI SE,X ,Q,20.00,21.00,20.00,20.00,20.00,20.50,14,187,3746.00,
523021,RISHITECH   ,X ,Q,30.15,31.35,30.15,31.35,31.30,32.15,5,356,11085.00,
523023,SINCLAIR HOT,X ,Q,312.50,318.90,309.00,315.80,315.80,319.25,40,2148,674828.00,
523025,SAFARI IND. ,B ,Q,621.25,638.00,621.25,628.95,630.00,628.10,72,1561,981637.00,
523100,COSMO FERR. ,X ,Q,11.37,11.37,11.37,11.37,11.37,11.96,1,1,11.00,
523116,SANCO TRANS ,X ,Q,208.85,208.85,208.85,208.85,208.85,209.10,1,1,208.00,
523127,EIH ASSO.HOT,B ,Q,350.00,350.00,337.00,343.55,343.55,350.00,4,5,1714.00,
523144,MEDI CAPS   ,XT,Q,18.30,18.40,18.30,18.40,18.40,18.40,2,525,9610.00,
523160,MORGAN CRU  ,X ,Q,1355.00,1355.00,1275.55,1340.00,1340.00,1348.45,23,400,525406.00,
523204,ABAN OFFSHO ,B ,Q,33.65,37.05,33.65,37.05,37.05,35.30,135,14283,516822.00,
523207,KOKUYOCMLN  ,B ,Q,76.30,76.30,74.00,74.35,74.35,76.40,55,3081,231222.00,
523229,BHARAT SEATS,X ,Q,64.50,66.20,64.50,65.50,65.50,65.40,66,30684,2008180.00,
523232,CONT.PETRO  ,XT,Q,22.90,22.90,22.90,22.90,22.90,22.90,2,80,1832.00,
523248,MACHINO PLAS,X ,Q,105.00,105.00,102.50,102.50,102.50,107.85,3,4,415.00,
523260,PEARL POLYME,T ,Q,13.30,13.30,13.30,13.30,13.30,14.00,5,1554,20668.00,
523261,VENKEY'S (I),A ,Q,1586.00,1627.00,1578.10,1602.00,1602.00,1555.50,1503,12821,20598870.00,
523269,ADVANI HOTEL,B ,Q,56.45,57.90,56.45,57.90,57.90,58.00,15,1142,65378.00,
523277,G.V.FILMS   ,X ,Q,0.41,0.47,0.41,0.41,0.41,0.41,34,49013,20136.00,
523283,SUPER HOUSE ,B ,Q,86.50,91.65,86.50,88.65,87.65,89.95,155,6198,554815.00,
523319,BALMER LAWRI,B ,Q,175.00,183.00,174.10,180.10,179.00,175.55,176,6838,1228702.00,
523323,KOVAI MEDI. ,X ,Q,745.95,745.95,724.00,724.10,724.00,722.00,4,10,7306.00,
523329,ELDECO HOUS.,X ,Q,1750.00,1750.00,1750.00,1750.00,1750.00,1772.05,5,14,24500.00,
523367,DCMSHRIRAM  ,A ,Q,582.40,590.00,544.15,564.35,564.35,579.85,915,10958,6266279.00,
523369,DCM SHR.IND ,X ,Q,179.90,187.00,172.00,176.40,176.00,177.50,59,1949,345502.00,
523371,MAWANA SUGAR,B ,Q,44.95,45.10,43.30,43.55,43.55,45.00,144,15872,702198.00,
